Function,dimension,try 1,try 2,try 3,try 4,try 5,try 6,try 7,try 8,try 9,try 10,try 11,try 12,try 13,try 14,try 15,try 16,try 17,try 18,try 19,try 20,try 21,try 22,try 23,try 24,try 25,try 26,try 27,try 28,try 29,try 30,average,staDev,range,median,time
Schwefels,10,361.917,199.663,327.955,-509.3,601.77,-1303.03,-239.254,-153.094,626.912,-840.432,-556.663,173.202,391.009,271.846,-521.81,232.585,327.594,461.171,-296.917,384.485,618.827,-391.127,715.164,-195.766,-479.412,243.129,432.041,40.8347,-502.831,624.971,34.8481,299.033,1015.14,-22.5989,0.00885294s
,20,712.811,551.741,-777.254,1227.58,-481.125,-269.501,1674.48,708.46,197.019,323.677,890.334,-903.334,-885.187,-268.457,371.914,-441.657,-968.437,1074.92,-1796.88,-1755.78,47.5487,351.879,-169.067,1118.23,524.931,-740.97,-179.666,258.216,235.495,1195.07,60.9,291.151,1019.16,15.939,0.00179455s
,30,-138.81,-821.945,798.29,278.078,600.998,267.628,-541.357,-1592.87,1573.49,-757.355,1.38715,1867.82,-1354.59,-608.271,-9.68737,-1626.54,597.138,-312.903,-1035.38,-345.312,-1047.35,1260.71,-236.048,-388.748,49.343,38.6541,-678.02,932.543,632.484,1768.58,-27.6012,291.931,1021.96,9.69033,0.00215914s
1st DeJong,10,13900,28540,29523,49054,36914,32184,15916,33627,44761,26236,45812,39743,36100,28695,40613,25921,28326,41121,36404,43256,43175,40726,29368,31912,50264,36745,35706,31743,52454,42064,35693.4,3568.02,199.426,-0.822057,0.00132522s
,20,43857,81998,73946,70758,62892,59114,64379,81840,62222,56934,71129,101083,69364,50587,86828,66448,56670,64181,82410,66013,62154,34385,32812,75711,43500,51002,74300,49761,74087,61503,64395.6,3218.61,199.051,4.68921,0.00174984s
,30,98363,90664,79524,85172,116916,83728,89766,121969,92911,93508,84624,124070,95047,103233,87995,104746,112896,91899,93922,76774,119058,120024,110332,89856,71307,128142,119039,134830,91061,108544,100664,3357.39,199.337,-3.01586,0.0021645s
Rosenbrock,10,1.17857e+10,3.03947e+10,2.07435e+10,9.47394e+09,2.74093e+10,6.99176e+09,1.40298e+10,3.97481e+10,3.59034e+10,1.97644e+10,2.00949e+10,1.82901e+10,8.13767e+09,6.00235e+09,2.75542e+10,1.97198e+10,1.07157e+10,9.35886e+09,1.63891e+10,2.49119e+10,2.74253e+10,2.25633e+10,5.91069e+09,2.74305e+09,2.60407e+10,1.37174e+10,6.88355e+09,7.64238e+09,1.74127e+10,1.12408e+10,1.73e+10,1.73e+09,198.298,4.19063,0.00155107s
,20,5.32043e+10,3.29657e+10,3.71066e+10,2.97676e+10,3.12547e+10,1.73977e+10,4.93942e+10,5.92507e+10,3.23368e+10,6.40418e+10,3.86698e+10,3.38729e+10,3.9371e+10,4.50152e+10,3.58566e+10,4.96346e+10,5.3077e+10,4.05428e+10,4.08811e+10,4.61211e+10,4.69462e+10,2.26817e+10,4.37657e+10,2.301e+10,3.57221e+10,3.91336e+10,4.54599e+10,3.1669e+10,3.73914e+10,5.01341e+10,4.01892e+10,2.00946e+09,199.723,-4.64256,0.00190569s
,30,4.64848e+10,4.42006e+10,8.68895e+10,6.31902e+10,3.19077e+10,4.54415e+10,5.12982e+10,5.93561e+10,4.56717e+10,7.29031e+10,4.73529e+10,7.39983e+10,5.30858e+10,6.58164e+10,4.22989e+10,7.87543e+10,3.29167e+10,4.52346e+10,4.85628e+10,5.64405e+10,7.16424e+10,4.07987e+10,4.02177e+10,6.85776e+10,7.73328e+10,6.00405e+10,5.93658e+10,6.2982e+10,5.04777e+10,8.13145e+10,5.68185e+10,1.89395e+09,199.243,5.02362,0.00270844s
Rastrigin,10,40020,23040,71240,52540,55380,49240,70600,30200,58500,44000,63560,53080,25920,73360,64840,70660,43780,33600,63040,19100,64820,66540,53960,72200,65780,59120,55040,49000,61960,38260,53079.3,5307.26,59.7883,0.853576,0.00152118s
